ARS,자치구,정류장이름,승차_일평균,하차_일평균,승하차_일평균,경유노선수
22120,서초구,구립서초어린이도서관 [22120],982.8,554.2,1537.0,4.0
22122,서초구,서초2동주민센터서이초등학교 [22122],149.6,377.8,527.3,3.0
22123,서초구,래미안리더스원아파트 [22123],350.4,312.8,663.2,4.0
22125,서초구,뱅뱅사거리 [22125],1111.8,692.7,1804.4,5.0
22126,서초구,뱅뱅사거리 [22126],309.4,971.9,1281.3,4.0
22127,서초구,서초그랑자이아파트 [22127],958.5,332.1,1290.6,4.0
22128,서초구,서초그랑자이아파트 [22128],435.0,857.1,1292.2,4.0
22131,서초구,수협서초지점 [22131],826.8,972.9,1799.6,4.0
22132,서초구,서초문화예술정보학교 [22132],441.3,764.8,1206.1,5.0
22133,서초구,법조단지 [22133],217.4,423.4,640.8,3.0
22135,서초구,서초역.서울중앙지법등기국 [22135],1650.9,788.5,2439.4,5.0
22140,서초구,"서초동삼성아파트(서초역,서초중앙지법등기국 방면) [22140]",587.0,743.7,1330.7,5.0
22141,서초구,서초유스센터.서초아트자이 [22141],700.6,482.1,1182.7,4.0
22142,서초구,서초동삼성아파트 [22142],501.9,641.7,1143.6,6.0
22143,서초구,서초3동주민센터 [22143],524.1,410.7,934.8,2.0
22146,서초구,서초중학교 [22146],1088.5,978.3,2066.8,8.0
22147,서초구,서초중학교앞 [22147],1078.2,965.8,2044.1,7.0
22148,서초구,서울고등학교 [22148],990.2,702.3,1692.5,8.0
22151,서초구,서초동예술의전당 [22151],74.5,183.8,258.3,1.0
22161,서초구,지하철3호선교대역 [22161],535.9,352.5,888.4,4.0
22162,서초구,KCC사옥 [22162],54.4,419.1,473.5,2.0
22164,서초구,서초푸르지오써밋.롯데캐슬클래식 [22164],284.2,312.5,596.8,4.0
22165,서초구,진흥아파트 [22165],147.9,261.7,409.5,3.0
22168,서초구,서초동진흥아파트 [22168],320.7,170.8,491.5,6.0
